entry_pct,exit_pct,dca_days,return_pct,max_dd_pct,num_trades
-0.02,-0.02,126,,,
-0.02,-0.01,126,,,
-0.02,0.0,126,,,
-0.02,0.01,126,,,
-0.02,0.02,126,872928.6186575547,-74.58177831263394,1215.0
-0.02,0.03,126,274315.6134085628,-74.58177831263394,1148.0
-0.02,0.04,126,60727.63050472705,-76.94720831980263,1082.0
-0.02,0.05,126,40085.72152676047,-80.91751870775201,994.0
-0.01,-0.02,126,,,
-0.01,-0.01,126,,,
-0.01,0.0,126,,,
-0.01,0.01,126,678645.2369804195,-71.08577222622715,1342.0
-0.01,0.02,126,283145.7104345597,-75.93859676413443,1251.0
-0.01,0.03,126,125297.04005341405,-77.99016618807838,1192.0
-0.01,0.04,126,34894.47145973922,-82.59370050670557,1133.0
-0.01,0.05,126,27918.03791186774,-84.22749293529638,1035.0
0.0,-0.02,126,,,
0.0,-0.01,126,,,
0.0,0.0,126,301974.7900237,-71.08577222622715,1457.0
0.0,0.01,126,91086.79125251848,-75.98146053399466,1350.0
0.0,0.02,126,50433.8700247364,-82.84575301564303,1258.0
0.0,0.03,126,32827.95095842683,-83.06007931290506,1207.0
0.0,0.04,126,10956.140139729512,-87.90849076197166,1159.0
0.0,0.05,126,12621.132079081504,-87.72384526809687,1053.0
0.01,-0.02,126,,,
0.01,-0.01,126,676955.1696437768,-71.08577222622715,1538.0
0.01,0.0,126,168438.8097392907,-71.08577222622715,1436.0
0.01,0.01,126,67500.17955459763,-75.98146053399466,1349.0
0.01,0.02,126,31369.38470063052,-82.84575301564303,1274.0
0.01,0.03,126,42548.058558898316,-83.4208849527942,1213.0
0.01,0.04,126,16525.837452870797,-87.88309888532827,1179.0
0.01,0.05,126,20528.485031357282,-86.2061675585719,1048.0
0.02,-0.02,126,889324.3129934361,-71.08577222622715,1695.0
0.02,-0.01,126,323157.44881602266,-71.08577222622715,1589.0
0.02,0.0,126,99916.87774393652,-72.9908542346471,1497.0
0.02,0.01,126,39226.954659552495,-78.89133645270897,1430.0
0.02,0.02,126,22530.81925667899,-83.96399517003613,1348.0
0.02,0.03,126,27265.19403650488,-84.50163570479305,1297.0
0.02,0.04,126,10540.975513893738,-88.67797426406636,1263.0
0.02,0.05,126,17651.136010317532,-86.2061675585719,1122.0
0.03,-0.02,126,315487.1669968698,-71.08577222622715,1671.0
0.03,-0.01,126,187318.94510309107,-71.46310636519638,1559.0
0.03,0.0,126,54425.868952289544,-73.75473057359295,1473.0
0.03,0.01,126,29737.141831852266,-79.48833454996937,1406.0
0.03,0.02,126,19495.433279656794,-83.96399517003613,1328.0
0.03,0.03,126,22102.304379639325,-84.50163570479305,1274.0
0.03,0.04,126,11949.547219118476,-88.67797426406636,1246.0
0.03,0.05,126,16486.051645286814,-86.2061675585719,1099.0
0.04,-0.02,126,72867.61659007354,-81.94724058817785,1765.0
0.04,-0.01,126,94623.9263024859,-83.49361441283749,1643.0
0.04,0.0,126,30920.32011568313,-83.56216768490857,1563.0
0.04,0.01,126,19074.810575017484,-85.97450874001787,1493.0
0.04,0.02,126,16336.716703403252,-87.91258170145319,1435.0
0.04,0.03,126,17144.670303445953,-88.44643664121418,1401.0
0.04,0.04,126,10525.491623735563,-90.40515428432445,1374.0
0.04,0.05,126,9520.819212039283,-88.36379231864217,1223.0
0.05,-0.02,126,21511.235273363265,-88.92061406975681,1625.0
0.05,-0.01,126,36033.21714793566,-89.86965859004273,1501.0
0.05,0.0,126,16303.960732689124,-89.86965859004273,1447.0
0.05,0.01,126,11170.848566140856,-91.35569274813852,1377.0
0.05,0.02,126,9000.11170901673,-92.55018197098465,1332.0
0.05,0.03,126,8970.131612231782,-92.37186583214135,1272.0
0.05,0.04,126,5865.573419552954,-93.66940399063913,1252.0
0.05,0.05,126,6951.547845883814,-90.72465815633954,1044.0
0.06,-0.02,126,18434.309728407254,-88.92061406975681,1684.0
0.06,-0.01,126,26223.74074324025,-89.86965859004273,1563.0
0.06,0.0,126,13240.781347460801,-89.86965859004273,1505.0
0.06,0.01,126,9901.447925304488,-91.35569274813852,1441.0
0.06,0.02,126,8349.650265040917,-92.55018197098465,1395.0
0.06,0.03,126,7246.269017872366,-92.37186583214135,1321.0
0.06,0.04,126,4729.462525217555,-93.66940399063913,1301.0
0.06,0.05,126,6022.918193419815,-90.72465815633954,1053.0
-0.02,-0.02,189,,,
-0.02,-0.01,189,,,
-0.02,0.0,189,,,
-0.02,0.01,189,,,
-0.02,0.02,189,1005310.6120977125,-74.58177831263394,1427.0
-0.02,0.03,189,315020.312300509,-74.58177831263394,1358.0
-0.02,0.04,189,69784.52741866407,-74.58177831263394,1291.0
-0.02,0.05,189,45407.447976201955,-78.1893406981152,1198.0
-0.01,-0.02,189,,,
-0.01,-0.01,189,,,
-0.01,0.0,189,,,
-0.01,0.01,189,769895.9236844775,-71.08577222622715,1561.0
-0.01,0.02,189,320176.51560076606,-74.58177831263394,1468.0
-0.01,0.03,189,141430.30238446072,-74.85342513979263,1407.0
-0.01,0.04,189,39434.66777445457,-80.11129534533038,1347.0
-0.01,0.05,189,31254.247181636736,-81.39926061291064,1244.0
0.0,-0.02,189,,,
0.0,-0.01,189,,,
0.0,0.0,189,369488.04592302867,-71.08577222622715,1686.0
0.0,0.01,189,111772.64242899934,-71.94337724264066,1579.0
0.0,0.02,189,61808.19818016878,-80.00726196767093,1486.0
0.0,0.03,189,39898.47468846444,-79.70755776060152,1434.0
0.0,0.04,189,13238.981222799324,-84.15489951295574,1385.0
0.0,0.05,189,15214.763951496703,-84.228583266667,1279.0
0.01,-0.02,189,,,
0.01,-0.01,189,822666.042923579,-71.08577222622715,1773.0
0.01,0.0,189,205265.0048962878,-71.08577222622715,1671.0
0.01,0.01,189,81486.90080311224,-71.94337724264066,1580.0
0.01,0.02,189,37862.56580151403,-80.00726196767093,1504.0
0.01,0.03,189,50924.58699478807,-79.70755776060152,1442.0
0.01,0.04,189,19648.876325055644,-84.13445981900466,1407.0
0.01,0.05,189,24528.92958382834,-82.07199855102219,1276.0
0.02,-0.02,189,1070259.1100155734,-71.08577222622715,1935.0
0.02,-0.01,189,387221.95561464335,-71.08577222622715,1828.0
0.02,0.0,189,119766.06208705023,-71.08577222622715,1734.0
0.02,0.01,189,46439.99375647201,-75.3494804528882,1661.0
0.02,0.02,189,26703.153654000147,-81.31591350318654,1578.0
0.02,0.03,189,32069.022063041826,-81.03582683775387,1526.0
0.02,0.04,189,12329.496667677164,-85.17733300508412,1491.0
0.02,0.05,189,20773.004818201967,-82.07199855102219,1350.0
0.03,-0.02,189,406803.87510902976,-71.08577222622715,1923.0
0.03,-0.01,189,240979.35701288437,-71.08577222622715,1811.0
0.03,0.0,189,70431.30979195335,-71.08577222622715,1725.0
0.03,0.01,189,38618.63775001428,-76.05485014359368,1658.0
0.03,0.02,189,25153.10113804003,-81.31591350318654,1580.0
0.03,0.03,189,28261.521322036442,-81.03582683775387,1526.0
0.03,0.04,189,15234.366850795246,-85.17733300508412,1498.0
0.03,0.05,189,21200.188346123006,-82.07199855102219,1351.0
0.04,-0.02,189,92096.40765494814,-77.51086989724027,2023.0
0.04,-0.01,189,119646.35308725668,-79.50799604053526,1901.0
0.04,0.0,189,39348.3544093605,-79.50799604053526,1819.0
0.04,0.01,189,24449.663883772864,-82.49823331238237,1748.0
0.04,0.02,189,20794.029406802005,-84.94695692231149,1690.0
0.04,0.03,189,21591.447186703208,-84.73784912842598,1656.0
0.04,0.04,189,13300.975990953797,-87.35454871456044,1628.0
0.04,0.05,189,11978.964105509416,-84.89586023565292,1475.0
0.05,-0.02,189,21222.200306945295,-87.08018344648893,1824.0
0.05,-0.01,189,35724.784225354815,-88.22751565932657,1700.0
0.05,0.0,189,16273.917758183066,-88.22751565932657,1644.0
0.05,0.01,189,11277.310091268457,-89.94487630366078,1573.0
0.05,0.02,189,9155.042901825822,-91.35171820913557,1528.0
0.05,0.03,189,9113.882945529018,-91.22207481399613,1468.0
0.05,0.04,189,6026.686797550282,-92.73037601825457,1447.0
0.05,0.05,189,7321.8534786986465,-89.41470379743907,1236.0
0.06,-0.02,189,17890.93833129568,-87.08018344648893,1905.0
0.06,-0.01,189,25556.217286914547,-88.22751565932657,1771.0
0.06,0.0,189,13006.491882212671,-88.22751565932657,1711.0
0.06,0.01,189,9831.212613117626,-89.94487630366078,1642.0
0.06,0.02,189,8359.211282839045,-91.35171820913557,1596.0
0.06,0.03,189,7261.649201767426,-91.22207481399613,1522.0
0.06,0.04,189,4793.181036197102,-92.73037601825457,1501.0
0.06,0.05,189,6314.077637597446,-89.41470379743907,1250.0
-0.02,-0.02,252,,,
-0.02,-0.01,252,,,
-0.02,0.0,252,,,
-0.02,0.01,252,,,
-0.02,0.02,252,1062118.4474631674,-74.58177831263394,1499.0
-0.02,0.03,252,332925.64698006737,-74.58177831263394,1430.0
-0.02,0.04,252,73850.88384623868,-74.58177831263394,1363.0
-0.02,0.05,252,48077.679448615556,-75.61165716415343,1268.0
-0.01,-0.02,252,,,
-0.01,-0.01,252,,,
-0.01,0.0,252,,,
-0.01,0.01,252,793713.2615048185,-71.08577222622715,1637.0
-0.01,0.02,252,329981.2751265541,-74.58177831263394,1543.0
-0.01,0.03,252,145906.32613281452,-74.58177831263394,1482.0
-0.01,0.04,252,40751.99620779062,-77.85992071264724,1422.0
-0.01,0.05,252,32294.250994719914,-79.70168888022108,1317.0
0.0,-0.02,252,,,
0.0,-0.01,252,,,
0.0,0.0,252,384950.8941999192,-71.08577222622715,1793.0
0.0,0.01,252,116613.15259120283,-71.08577222622715,1686.0
0.0,0.02,252,64615.372107725045,-77.95768538697358,1592.0
0.0,0.03,252,41901.17082466263,-77.54345623102265,1540.0
0.0,0.04,252,13891.224640735129,-81.74447364581007,1488.0
0.0,0.05,252,16060.868532802877,-82.31856816859448,1380.0
0.01,-0.02,252,,,
0.01,-0.01,252,882051.7375540124,-71.08577222622715,1959.0
0.01,0.0,252,220201.90087573265,-71.08577222622715,1857.0
0.01,0.01,252,87180.83576560595,-71.08577222622715,1764.0
0.01,0.02,252,40629.82328503286,-77.95768538697358,1688.0
0.01,0.03,252,54901.8232278249,-77.54345623102265,1626.0
0.01,0.04,252,21140.579095716123,-81.35423524010301,1588.0
0.01,0.05,252,26657.400580123984,-78.18560759389761,1457.0
0.02,-0.02,252,1135854.8084635225,-71.08577222622715,2122.0
0.02,-0.01,252,410817.90763386496,-71.08577222622715,2014.0
0.02,0.0,252,127196.72626900993,-71.08577222622715,1920.0
0.02,0.01,252,49195.12402261121,-72.85149792671612,1845.0
0.02,0.02,252,28390.608779497514,-79.4034599941117,1762.0
0.02,0.03,252,34268.90802042074,-79.01640048915814,1710.0
0.02,0.04,252,13155.301661390471,-82.58108332464292,1672.0
0.02,0.05,252,22402.553629263686,-78.18560759389761,1531.0
0.03,-0.02,252,444370.3362838343,-71.08577222622715,2150.0
0.03,-0.01,252,262553.9118130822,-71.08577222622715,2036.0
0.03,0.0,252,76823.99993198579,-71.08577222622715,1949.0
0.03,0.01,252,42114.67976179512,-73.63286279918965,1882.0
0.03,0.02,252,27275.636759916568,-79.4034599941117,1796.0
0.03,0.03,252,30731.321633754556,-79.01640048915814,1739.0
0.03,0.04,252,16557.275355653008,-82.58108332464292,1711.0
0.03,0.05,252,23319.453063028614,-78.15098002290962,1564.0
0.04,-0.02,252,103509.29116994514,-75.30295925065344,2265.0
0.04,-0.01,252,134453.58948173004,-77.47312431110954,2141.0
0.04,0.0,252,44106.02979892531,-77.47312431110954,2058.0
0.04,0.01,252,27492.643782505143,-80.75086957541039,1987.0
0.04,0.02,252,23252.545792263536,-83.42649183443541,1921.0
0.04,0.03,252,23975.031115844427,-83.1150349652686,1884.0
0.04,0.04,252,14810.668157043943,-85.98771701880594,1856.0
0.04,0.05,252,13059.369973785133,-81.60438178567593,1703.0
